,AC,ACLPP,ADefPES,AFwdPES,AGLPP,AMidPES,AOvrPES,APhyPES,AS,ASLPP,AST,ASTLPP,ASpdPES,AStreak,ATGDference,ATPts,AwayTeam,DiffCLPP,DiffDefPES,DiffFwdPES,DiffGDference,DiffGLPP,DiffMidPES,DiffOvrPES,DiffPhyPES,DiffPts,DiffSLPP,DiffSTLPP,DiffSpdPES,DiffStreak,FTAG,FTHG,FTR,HC,HCLPP,HDefPES,HFwdPES,HGLPP,HMidPES,HOvrPES,HPhyPES,HS,HSLPP,HST,HSTLPP,HSpdPES,HStreak,HTGDference,HTPts,HomeTeam,MW,Season
757,3.0,5.166666666666667,0.9156626506024096,0.9135802469135802,1.5,0.8571428571428571,0.9012345679012346,0.9512195121951219,10.0,14.666666666666666,7.0,8.333333333333334,0.9375,0.7222222222222222,-1.0,1.368421052631579,Fulham,4.666666666666667,0.36363636363636365,0.0625,24.0,-0.16666666666666674,0.5625,0.5,0.14285714285714285,0.3684210526315789,-2.333333333333332,0.5,0.6,-0.2777777777777778,0.0,2.0,H,9.0,9.833333333333334,0.963855421686747,0.9259259259259259,1.3333333333333333,0.9642857142857143,0.9753086419753086,0.9634146341463414,15.0,12.333333333333334,9.0,8.833333333333334,0.975,0.4444444444444444,23.0,1.736842105263158,Tottenham,38,1112
758,5.0,6.5,0.9518072289156626,1.0,1.5,0.9285714285714286,0.9629629629629629,0.9634146341463414,12.0,13.0,8.0,8.833333333333334,0.9875,0.5,24.0,1.763157894736842,Arsenal,-1.0,-0.6363636363636364,-0.9375,-30.0,-0.33333333333333326,-0.4375,-0.5833333333333334,-0.14285714285714285,-0.5263157894736842,2.5,-2.000000000000001,-0.6,0.11111111111111116,3.0,2.0,A,9.0,5.5,0.8674698795180723,0.8148148148148148,1.1666666666666667,0.8452380952380952,0.8765432098765432,0.9512195121951219,12.0,15.5,8.0,6.833333333333333,0.95,0.6111111111111112,-6.0,1.236842105263158,West Brom,38,1112
759,2.0,5.666666666666667,0.9156626506024096,0.8271604938271605,0.8333333333333334,0.8452380952380952,0.8765432098765432,0.9390243902439024,10.0,10.333333333333334,7.0,5.5,0.95,0.16666666666666666,-41.0,0.6578947368421053,Wolves,-1.8333333333333335,-0.36363636363636365,0.125,20.0,0.8333333333333334,0.125,0.08333333333333333,0.0,0.39473684210526316,3.833333333333332,1.833333333333333,0.0,0.5,2.0,3.0,H,9.0,3.8333333333333335,0.8674698795180723,0.8518518518518519,1.6666666666666667,0.8690476190476191,0.8888888888888888,0.9390243902439024,14.0,14.166666666666666,10.0,7.333333333333333,0.95,0.6666666666666666,-21.0,1.0526315789473684,Wigan,38,1112
760,0.0,,0.8941176470588236,0.896551724137931,,0.9047619047619048,0.9036144578313253,0.9397590361445783,3.0,,2.0,,0.95,,0.0,0.0,Sunderland,,0.5,0.14285714285714285,0.0,,0.3333333333333333,0.5454545454545454,0.14285714285714285,0.0,,,0.8,,0.0,0.0,D,7.0,,0.9647058823529412,0.9310344827586207,,0.9523809523809523,0.9759036144578314,0.9518072289156626,14.0,,4.0,,1.0,,0.0,0.0,Arsenal,1,1213
761,3.0,,0.8705882352941177,0.7701149425287356,,0.8690476190476191,0.8795180722891566,0.927710843373494,4.0,,2.0,,0.95,,0.0,0.0,Norwich,,0.3333333333333333,0.19047619047619047,0.0,,0.25,0.2727272727272727,0.14285714285714285,0.0,,,0.2,,0.0,5.0,H,6.0,,0.9176470588235294,0.8160919540229885,,0.9047619047619048,0.9156626506024096,0.9397590361445783,11.0,,9.0,,0.9625,,0.0,0.0,Fulham,1,1213
762,5.0,,0.9529411764705882,0.8620689655172413,,0.9642857142857143,0.963855421686747,0.963855421686747,12.0,,6.0,,1.0,,0.0,0.0,Tottenham,,-0.25,-0.2857142857142857,0.0,,-0.4166666666666667,-0.36363636363636365,-0.2857142857142857,0.0,,,-0.4,,1.0,2.0,H,3.0,,0.9176470588235294,0.7931034482758621,,0.9047619047619048,0.9156626506024096,0.9397590361445783,6.0,,4.0,,0.975,,0.0,0.0,Newcastle,1,1213
763,3.0,,0.8823529411764706,0.8275862068965517,,0.8809523809523809,0.8795180722891566,0.9156626506024096,12.0,,8.0,,0.9625,,0.0,0.0,Swansea,,0.4166666666666667,0.19047619047619047,0.0,,0.0,0.2727272727272727,0.42857142857142855,0.0,,,0.6,,5.0,0.0,A,5.0,,0.9411764705882353,0.8735632183908046,,0.8809523809523809,0.9156626506024096,0.9518072289156626,20.0,,11.0,,1.0,,0.0,0.0,QPR,1,1213
764,3.0,,0.8941176470588236,0.8275862068965517,,0.9047619047619048,0.9036144578313253,0.9759036144578314,6.0,,3.0,,0.9625,,0.0,0.0,Stoke,,-0.08333333333333333,-0.2857142857142857,0.0,,-0.3333333333333333,-0.2727272727272727,-0.42857142857142855,0.0,,,-0.2,,1.0,1.0,D,4.0,,0.8823529411764706,0.7586206896551724,,0.8571428571428571,0.8674698795180723,0.9397590361445783,9.0,,3.0,,0.95,,0.0,0.0,Reading,1,1213
765,3.0,,0.8941176470588236,0.8390804597701149,,0.9642857142857143,0.9156626506024096,0.9397590361445783,14.0,,7.0,,0.9625,,0.0,0.0,Liverpool,,-0.25,-0.3333333333333333,0.0,,-0.6666666666666666,-0.36363636363636365,0.0,0.0,,,0.0,,0.0,3.0,H,7.0,,0.8588235294117647,0.7586206896551724,,0.8690476190476191,0.8674698795180723,0.9397590361445783,15.0,,10.0,,0.9625,,0.0,0.0,West Brom,1,1213
766,4.0,,0.8705882352941177,0.8160919540229885,,0.8690476190476191,0.8795180722891566,0.927710843373494,10.0,,6.0,,0.975,,0.0,0.0,Aston Villa,,-0.08333333333333333,0.19047619047619047,0.0,,-0.08333333333333333,-0.09090909090909091,0.14285714285714285,0.0,,,-0.2,,0.0,1.0,H,6.0,,0.8588235294117647,0.8620689655172413,,0.8571428571428571,0.8674698795180723,0.9397590361445783,8.0,,4.0,,0.9625,,0.0,0.0,West Ham,1,1213
